trial,test_id,n_csr,RPM_agitator,m_substrate,placement,paddle_position,fill_height_cm,mean_fill_height,std_fill_height,n,sem_fill_height,rel_dev_pct
1,1.1,0,15,16,center,1,0,0.0,0.0,3,0.0,
1,1.1,5,15,16,center,1,14,13.333333333333334,0.5773502691896258,3,0.33333333333333337,4.999999999999996
1,1.1,10,15,16,center,1,16,12.666666666666666,3.055050463303893,3,1.7638342073763937,26.315789473684216
2,1.1,0,15,16,center,1,0,0.0,0.0,3,0.0,
2,1.1,5,15,16,center,1,13,13.333333333333334,0.5773502691896258,3,0.33333333333333337,-2.5000000000000044
2,1.1,10,15,16,center,1,12,12.666666666666666,3.055050463303893,3,1.7638342073763937,-5.263157894736838
3,1.1,0,15,16,center,1,0,0.0,0.0,3,0.0,
3,1.1,5,15,16,center,1,13,13.333333333333334,0.5773502691896258,3,0.33333333333333337,-2.5000000000000044
3,1.1,10,15,16,center,1,10,12.666666666666666,3.055050463303893,3,1.7638342073763937,-21.052631578947363
1,1.2,0,12,16,edge,1,24,23.666666666666668,0.5773502691896255,3,0.3333333333333332,1.4084507042253471
1,1.2,5,12,16,edge,1,13,11.333333333333334,1.5275252316519468,3,0.881917103688197,14.705882352941172
1,1.2,10,12,16,edge,1,10,10.666666666666666,1.1547005383792517,3,0.6666666666666667,-6.249999999999995
2,1.2,0,12,16,edge,1,23,23.666666666666668,0.5773502691896255,3,0.3333333333333332,-2.8169014084507094
2,1.2,5,12,16,edge,1,10,11.333333333333334,1.5275252316519468,3,0.881917103688197,-11.764705882352946
2,1.2,10,12,16,edge,1,10,10.666666666666666,1.1547005383792517,3,0.6666666666666667,-6.249999999999995
3,1.2,0,12,16,edge,1,24,23.666666666666668,0.5773502691896255,3,0.3333333333333332,1.4084507042253471
3,1.2,5,12,16,edge,1,11,11.333333333333334,1.5275252316519468,3,0.881917103688197,-2.9411764705882404
3,1.2,10,12,16,edge,1,12,10.666666666666666,1.1547005383792517,3,0.6666666666666667,12.500000000000005
1,1.1,0,15,16,center,2,24,24.333333333333332,0.5773502691896255,3,0.3333333333333332,-1.3698630136986254
1,1.1,5,15,16,center,2,15,14.333333333333334,1.1547005383792517,3,0.6666666666666667,4.65116279069767
1,1.1,10,15,16,center,2,14,13.333333333333334,0.5773502691896258,3,0.33333333333333337,4.999999999999996
2,1.1,0,15,16,center,2,25,24.333333333333332,0.5773502691896255,3,0.3333333333333332,2.7397260273972655
2,1.1,5,15,16,center,2,15,14.333333333333334,1.1547005383792517,3,0.6666666666666667,4.65116279069767
2,1.1,10,15,16,center,2,13,13.333333333333334,0.5773502691896258,3,0.33333333333333337,-2.5000000000000044
3,1.1,0,15,16,center,2,24,24.333333333333332,0.5773502691896255,3,0.3333333333333332,-1.3698630136986254
3,1.1,5,15,16,center,2,13,14.333333333333334,1.1547005383792517,3,0.6666666666666667,-9.302325581395353
3,1.1,10,15,16,center,2,13,13.333333333333334,0.5773502691896258,3,0.33333333333333337,-2.5000000000000044
1,1.2,0,12,16,edge,2,0,0.0,0.0,3,0.0,
1,1.2,5,12,16,edge,2,13,13.0,0.0,3,0.0,0.0
1,1.2,10,12,16,edge,2,12,13.0,1.0,3,0.5773502691896258,-7.6923076923076925
2,1.2,0,12,16,edge,2,0,0.0,0.0,3,0.0,
2,1.2,5,12,16,edge,2,13,13.0,0.0,3,0.0,0.0
2,1.2,10,12,16,edge,2,14,13.0,1.0,3,0.5773502691896258,7.6923076923076925
3,1.2,0,12,16,edge,2,0,0.0,0.0,3,0.0,
3,1.2,5,12,16,edge,2,13,13.0,0.0,3,0.0,0.0
3,1.2,10,12,16,edge,2,13,13.0,1.0,3,0.5773502691896258,0.0
1,1.1,0,15,16,center,3,26,26.0,1.0,3,0.5773502691896258,0.0
1,1.1,5,15,16,center,3,15,14.0,1.0,3,0.5773502691896258,7.142857142857142
1,1.1,10,15,16,center,3,15,13.666666666666666,1.1547005383792515,3,0.6666666666666666,9.756097560975615
2,1.1,0,15,16,center,3,25,26.0,1.0,3,0.5773502691896258,-3.8461538461538463
2,1.1,5,15,16,center,3,14,14.0,1.0,3,0.5773502691896258,0.0
2,1.1,10,15,16,center,3,13,13.666666666666666,1.1547005383792515,3,0.6666666666666666,-4.878048780487801
3,1.1,0,15,16,center,3,27,26.0,1.0,3,0.5773502691896258,3.8461538461538463
3,1.1,5,15,16,center,3,13,14.0,1.0,3,0.5773502691896258,-7.142857142857142
3,1.1,10,15,16,center,3,13,13.666666666666666,1.1547005383792515,3,0.6666666666666666,-4.878048780487801
1,1.2,0,12,16,edge,3,0,0.0,0.0,3,0.0,
1,1.2,5,12,16,edge,3,13,13.333333333333334,0.5773502691896255,3,0.3333333333333332,-2.5000000000000044
1,1.2,10,12,16,edge,3,14,13.333333333333334,0.5773502691896258,3,0.33333333333333337,4.999999999999996
2,1.2,0,12,16,edge,3,0,0.0,0.0,3,0.0,
2,1.2,5,12,16,edge,3,13,13.333333333333334,0.5773502691896255,3,0.3333333333333332,-2.5000000000000044
2,1.2,10,12,16,edge,3,13,13.333333333333334,0.5773502691896258,3,0.33333333333333337,-2.5000000000000044
3,1.2,0,12,16,edge,3,0,0.0,0.0,3,0.0,
3,1.2,5,12,16,edge,3,14,13.333333333333334,0.5773502691896255,3,0.3333333333333332,4.999999999999996
3,1.2,10,12,16,edge,3,13,13.333333333333334,0.5773502691896258,3,0.33333333333333337,-2.5000000000000044
1,1.1,0,15,16,center,4,0,0.0,0.0,3,0.0,
1,1.1,5,15,16,center,4,10,11.333333333333334,1.1547005383792515,3,0.6666666666666666,-11.764705882352946
1,1.1,10,15,16,center,4,12,13.333333333333334,1.1547005383792515,3,0.6666666666666666,-10.000000000000004
2,1.1,0,15,16,center,4,0,0.0,0.0,3,0.0,
2,1.1,5,15,16,center,4,12,11.333333333333334,1.1547005383792515,3,0.6666666666666666,5.882352941176465
2,1.1,10,15,16,center,4,14,13.333333333333334,1.1547005383792515,3,0.6666666666666666,4.999999999999996
3,1.1,0,15,16,center,4,0,0.0,0.0,3,0.0,
3,1.1,5,15,16,center,4,12,11.333333333333334,1.1547005383792515,3,0.6666666666666666,5.882352941176465
3,1.1,10,15,16,center,4,14,13.333333333333334,1.1547005383792515,3,0.6666666666666666,4.999999999999996
1,1.2,0,12,16,edge,4,24,23.666666666666668,0.5773502691896263,3,0.33333333333333365,1.4084507042253471
1,1.2,5,12,16,edge,4,13,12.333333333333334,0.5773502691896258,3,0.33333333333333337,5.4054054054054
1,1.2,10,12,16,edge,4,15,14.0,1.0,3,0.5773502691896258,7.142857142857142
2,1.2,0,12,16,edge,4,24,23.666666666666668,0.5773502691896263,3,0.33333333333333365,1.4084507042253471
2,1.2,5,12,16,edge,4,12,12.333333333333334,0.5773502691896258,3,0.33333333333333337,-2.7027027027027075
2,1.2,10,12,16,edge,4,14,14.0,1.0,3,0.5773502691896258,0.0
3,1.2,0,12,16,edge,4,23,23.666666666666668,0.5773502691896263,3,0.33333333333333365,-2.8169014084507094
3,1.2,5,12,16,edge,4,12,12.333333333333334,0.5773502691896258,3,0.33333333333333337,-2.7027027027027075
3,1.2,10,12,16,edge,4,13,14.0,1.0,3,0.5773502691896258,-7.142857142857142
