directory,file_name,file_type,description,related_tests,notes
raw_data,01_01_1_4_test_watercontent_raw.csv,CSV,Raw wet/dry mass measurements at 4 paddle positions,01.01,Direct manual measurements only
raw_data,01_02_1_3_test_portions_raw.csv,CSV,Raw portion masses and probe samples,01.02,Includes operator observations
raw_data,01_03_1_3_agitator_longitudinal_raw.csv,CSV,Raw fill-height measurements for longitudinal transport,01.03,Wide-format raw table
raw_data,01_04_1_3_manifold_raw.csv,CSV,Raw flow measurements for manifold orifices,01.04,Includes hydraulic head and bore diameter

derived_data,01_01_1_4_test_watercontent_derived.csv,CSV,Derived water content, mean/std/SEM, deviations, combined metrics,01.01,Generated by 01_build_derived_data.py
derived_data,01_02_1_3_test_portions_derived.csv,CSV,Derived portioning statistics (RSD, SEM, losses, water content),01.02,Generated by 01_build_derived_data.py
derived_data,01_03_1_3_agitator_longitudinal_derived.csv,CSV,Derived fill-height statistics (mean/std/SEM, deviations),01.03,Generated by 01_build_derived_data.py
derived_data,01_04_1_3_manifold_derived.csv,CSV,Derived flow statistics, velocities, RSD, requirement checks,01.04,Generated by 01_build_derived_data.py

derived_data,01_01_plot_trial2_3.png,PNG,Plot of water content distribution for Trials 2 & 3,01.01,Generated by 02_generate_plots.py
derived_data,01_01_plot_trial4.png,PNG,Plot of water content distribution for Trial 4,01.01,Generated by 02_generate_plots.py
derived_data,01_03_1.1_plot.png,PNG,Longitudinal transport plot for Test 1.1,01.03,Generated by 02_generate_plots.py
derived_data,01_03_1.2_plot.png,PNG,Longitudinal transport plot for Test 1.2,01.03,Generated by 02_generate_plots.py
derived_data,01_04_plot.png,PNG,Manifold flow distribution plot,01.04,Generated by 02_generate_plots.py

metadata,metadata_README.md,Markdown,Human-readable metadata for entire dataset,ALL,Describes structure and methodology
metadata,codebook.csv,CSV,Variable-level metadata for all raw and derived datasets,ALL,Schema.org-inspired metadata
metadata,file_list.csv,CSV,File-level metadata index,ALL,This file

scripts,01_build_derived_data.py,Python,Processing pipeline for all raw→derived transformations,ALL,Reproducible data generation
scripts,02_generate_plots.py,Python,Plotting pipeline for all figures,ALL,Reproducible figure generation
