trial,test_id,n_csr,paddle1,paddle2,paddle3,paddle4,RPM_agitator,m_substrate,placement
1,1.1,0,0,24,26,0,15,16,center
1,1.1,5,14,15,15,10,15,16,center
1,1.1,10,16,14,15,12,15,16,center
2,1.1,0,0,25,25,0,15,16,center
2,1.1,5,13,15,14,12,15,16,center
2,1.1,10,12,13,13,14,15,16,center
3,1.1,0,0,24,27,0,15,16,center
3,1.1,5,13,13,13,12,15,16,center
3,1.1,10,10,13,13,14,15,16,center
1,1.2,0,24,0,0,24,12,16,edge
1,1.2,5,13,13,13,13,12,16,edge
1,1.2,10,10,12,14,15,12,16,edge
2,1.2,0,23,0,0,24,12,16,edge
2,1.2,5,10,13,13,12,12,16,edge
2,1.2,10,10,14,13,14,12,16,edge
3,1.2,0,24,0,0,23,12,16,edge
3,1.2,5,11,13,14,12,12,16,edge
3,1.2,10,12,13,13,13,12,16,edge
