test_id,trial,orifice,volume_ml,time_s,hydraulic_head_m,bore_mm
5,1,1,140,30,0.4,2
5,1,2,130,30,0.4,2
5,1,3,170,30,0.4,2
5,1,4,130,30,0.4,2
5,1,5,150,30,0.4,2
5,1,6,140,30,0.4,2
5,1,7,150,30,0.4,2
5,1,8,150,30,0.4,2
5,1,9,140,30,0.4,2
5,1,10,130,30,0.4,2
5,1,11,130,30,0.4,2
5,2,1,150,30,0.4,2
5,2,2,130,30,0.4,2
5,2,3,170,30,0.4,2
5,2,4,130,30,0.4,2
5,2,5,150,30,0.4,2
5,2,6,140,30,0.4,2
5,2,7,140,30,0.4,2
5,2,8,140,30,0.4,2
5,2,9,140,30,0.4,2
5,2,10,130,30,0.4,2
5,2,11,130,30,0.4,2
6,1,1,175,25,0.4,2.5
6,1,2,170,25,0.4,2.5
6,1,3,190,25,0.4,2.5
6,1,4,175,25,0.4,2.5
6,1,5,180,25,0.4,2.5
6,1,6,190,25,0.4,2.5
6,1,7,170,25,0.4,2.5
6,1,8,170,25,0.4,2.5
6,1,9,170,25,0.4,2.5
6,1,10,190,25,0.4,2.5
6,1,11,150,25,0.4,2.5
6,2,1,170,25,0.4,2.5
6,2,2,160,25,0.4,2.5
6,2,3,180,25,0.4,2.5
6,2,4,150,25,0.4,2.5
6,2,5,160,25,0.4,2.5
6,2,6,140,25,0.4,2.5
6,2,7,170,25,0.4,2.5
6,2,8,160,25,0.4,2.5
6,2,9,150,25,0.4,2.5
6,2,10,150,25,0.4,2.5
6,2,11,110,25,0.4,2.5
6,3,1,150,25,0.4,2.5
6,3,2,140,25,0.4,2.5
6,3,3,160,25,0.4,2.5
6,3,4,150,25,0.4,2.5
6,3,5,150,25,0.4,2.5
6,3,6,160,25,0.4,2.5
6,3,7,150,25,0.4,2.5
6,3,8,140,25,0.4,2.5
6,3,9,150,25,0.4,2.5
6,3,10,130,25,0.4,2.5
6,3,11,150,25,0.4,2.5
7,1,1,180,25,0.4,3
7,1,2,150,25,0.4,3
7,1,3,160,25,0.4,3
7,1,4,150,25,0.4,3
7,1,5,160,25,0.4,3
7,1,6,170,25,0.4,3
7,1,7,150,25,0.4,3
7,1,8,140,25,0.4,3
7,1,9,150,25,0.4,3
7,1,10,160,25,0.4,3
7,1,11,150,25,0.4,3
7,2,1,220,20,0.4,3
7,2,2,210,20,0.4,3
7,2,3,200,20,0.4,3
7,2,4,190,20,0.4,3
7,2,5,200,20,0.4,3
7,2,6,220,20,0.4,3
7,2,7,190,20,0.4,3
7,2,8,190,20,0.4,3
7,2,9,190,20,0.4,3
7,2,10,200,20,0.4,3
7,2,11,150,20,0.4,3
7,3,1,210,25,0.4,3
7,3,2,180,25,0.4,3
7,3,3,180,25,0.4,3
7,3,4,170,25,0.4,3
7,3,5,170,25,0.4,3
7,3,6,200,25,0.4,3
7,3,7,180,25,0.4,3
7,3,8,170,25,0.4,3
7,3,9,180,25,0.4,3
7,3,10,190,25,0.4,3
7,3,11,160,25,0.4,3
